Time_Window,Exploration_Count,Exploitation_Count,Total_Count
0-20,7,13,20
20-40,5,15,20
40-60,3,17,20
60-80,3,17,20
80-100,3,17,20
100-120,4,16,20
120-140,2,18,20
140-160,3,17,20
160-180,2,18,20
180-200,1,19,20
200-220,3,17,20
220-240,5,15,20
240-260,3,17,20
260-280,4,16,20
280-300,3,17,20
300-320,2,18,20
320-340,3,17,20
340-360,9,11,20
360-380,8,12,20
380-400,5,15,20
400-420,6,14,20
420-440,5,15,20
440-460,1,19,20
460-480,1,19,20
480-500,4,16,20
500-520,1,19,20
520-540,4,16,20
540-560,5,15,20
560-580,1,19,20
580-600,2,18,20
600-620,2,18,20
620-640,6,14,20
640-660,10,10,20
660-680,13,7,20
680-700,11,9,20
700-720,9,11,20
720-740,17,3,20
740-760,12,8,20
760-780,8,12,20
780-800,11,9,20
800-820,13,7,20
820-840,14,6,20
840-860,17,3,20
860-880,10,10,20
880-900,12,8,20
900-920,13,7,20
920-940,16,4,20
940-960,9,11,20
960-980,15,5,20
980-1000,17,3,20
1000-1020,16,4,20
1020-1040,16,4,20
1040-1060,14,6,20
1060-1080,19,1,20
1080-1100,18,2,20
1100-1120,17,3,20
1120-1140,18,2,20
1140-1160,18,2,20
1160-1180,20,0,20
1180-1200,20,0,20
1200-1220,20,0,20
1220-1240,18,2,20
1240-1260,20,0,20
1260-1280,20,0,20
1280-1300,20,0,20
1300-1320,20,0,20
1320-1340,20,0,20
1340-1360,20,0,20
1360-1380,20,0,20
1380-1400,20,0,20
1400-1420,20,0,20
1420-1440,20,0,20
1440-1460,20,0,20
1460-1480,20,0,20
1480-1500,20,0,20
1500-1520,20,0,20
1520-1540,20,0,20
1540-1560,20,0,20
1560-1580,20,0,20
1580-1600,20,0,20
1600-1620,20,0,20
1620-1640,20,0,20
1640-1660,20,0,20
1660-1680,20,0,20
1680-1700,20,0,20
1700-1720,20,0,20
1720-1740,20,0,20
1740-1760,20,0,20
1760-1780,20,0,20
1780-1800,20,0,20
1800-1820,20,0,20
1820-1840,20,0,20
1840-1860,20,0,20
1860-1880,20,0,20
1880-1900,20,0,20
1900-1920,20,0,20
1920-1940,20,0,20
1940-1960,20,0,20
1960-1980,20,0,20
1980-2000,20,0,20
