Time Window,Exploitation Count,Exploration Count,Total Count
0-20,12,8,20
20-40,13,7,20
40-60,13,7,20
60-80,10,10,20
80-100,15,5,20
100-120,10,10,20
120-140,17,3,20
140-160,13,7,20
160-180,18,2,20
180-200,13,7,20
200-220,16,4,20
220-240,13,7,20
240-260,12,8,20
260-280,13,7,20
280-300,18,2,20
300-320,15,5,20
320-340,17,3,20
340-360,17,3,20
360-380,15,5,20
380-400,17,3,20
400-420,18,2,20
420-440,17,3,20
440-460,20,0,20
460-480,18,2,20
480-500,19,1,20
500-520,15,5,20
520-540,15,5,20
540-560,15,5,20
560-580,19,1,20
580-600,15,5,20
600-620,16,4,20
620-640,17,3,20
640-660,8,12,20
660-680,1,19,20
680-700,7,13,20
700-720,2,18,20
720-740,11,9,20
740-760,7,13,20
760-780,2,18,20
780-800,0,20,20
800-820,1,19,20
820-840,1,19,20
840-860,3,17,20
860-880,1,19,20
880-900,5,15,20
900-920,1,19,20
920-940,2,18,20
940-960,6,14,20
960-980,4,16,20
980-1000,2,18,20
1000-1020,4,16,20
1020-1040,4,16,20
1040-1060,6,14,20
1060-1080,3,17,20
1080-1100,5,15,20
1100-1120,1,19,20
1120-1140,0,20,20
1140-1160,0,20,20
1160-1180,0,20,20
1180-1200,0,20,20
1200-1220,1,19,20
1220-1240,0,20,20
1240-1260,0,20,20
1260-1280,0,20,20
1280-1300,0,20,20
1300-1320,0,20,20
1320-1340,0,20,20
1340-1360,0,20,20
1360-1380,0,20,20
1380-1400,0,20,20
1400-1420,0,20,20
1420-1440,0,20,20
1440-1460,0,20,20
1460-1480,0,20,20
1480-1500,0,20,20
1500-1520,0,20,20
1520-1540,0,20,20
1540-1560,0,20,20
1560-1580,0,20,20
1580-1600,0,20,20
1600-1620,0,20,20
1620-1640,0,20,20
1640-1660,0,20,20
1660-1680,0,20,20
1680-1700,0,20,20
1700-1720,0,20,20
1720-1740,0,20,20
1740-1760,0,20,20
1760-1780,0,20,20
1780-1800,0,20,20
1800-1820,0,20,20
1820-1840,0,20,20
1840-1860,0,20,20
1860-1880,0,20,20
1880-1900,0,20,20
1900-1920,0,20,20
1920-1940,0,20,20
1940-1960,0,20,20
1960-1980,0,20,20
1980-2000,0,20,20
