Generation,Exploration Count,Exploitation Count,Total Count
0,4,46,50
1,2,48,50
2,3,47,50
3,4,46,50
4,2,48,50
5,2,48,50
6,7,43,50
7,10,40,50
8,5,45,50
9,4,46,50
10,8,42,50
11,5,45,50
12,6,44,50
13,5,45,50
14,3,47,50
15,7,43,50
16,6,44,50
17,3,47,50
18,5,45,50
19,7,43,50
20,4,46,50
21,6,44,50
22,5,45,50
23,5,45,50
24,8,42,50
25,6,44,50
26,8,42,50
27,5,45,50
28,4,46,50
29,8,42,50
30,8,42,50
31,7,43,50
32,7,43,50
33,12,38,50
34,5,45,50
35,9,41,50
36,9,41,50
37,9,41,50
38,9,41,50
39,11,39,50
40,9,41,50
41,7,43,50
42,7,43,50
43,7,43,50
44,3,47,50
45,11,39,50
46,10,40,50
47,12,38,50
48,10,40,50
49,6,44,50
50,9,41,50
51,8,42,50
52,8,42,50
53,7,43,50
54,7,43,50
55,10,40,50
56,10,40,50
57,11,39,50
58,11,39,50
59,7,43,50
60,8,42,50
61,8,42,50
62,5,45,50
63,7,43,50
64,10,40,50
65,8,42,50
66,7,43,50
67,13,37,50
68,11,39,50
69,9,41,50
70,8,42,50
71,13,37,50
72,8,42,50
73,10,40,50
74,13,37,50
75,12,38,50
76,11,39,50
77,8,42,50
78,9,41,50
79,9,41,50
80,8,42,50
81,7,43,50
82,7,43,50
83,11,39,50
84,8,42,50
85,5,45,50
86,11,39,50
87,12,38,50
88,5,45,50
89,11,39,50
90,9,41,50
91,8,42,50
92,11,39,50
93,8,42,50
94,9,41,50
95,12,38,50
96,6,44,50
97,7,43,50
98,9,41,50
99,14,36,50
100,12,38,50
101,7,43,50
102,14,36,50
103,6,44,50
104,12,38,50
105,12,38,50
106,11,39,50
107,9,41,50
108,12,38,50
109,15,35,50
110,11,39,50
111,10,40,50
112,15,35,50
113,11,39,50
114,9,41,50
115,9,41,50
116,11,39,50
117,15,35,50
118,13,37,50
119,15,35,50
120,16,34,50
121,9,41,50
