iter,action,GBest Fitness,Reward,explore_particles,exploit_particles
0,12,2566.401839927344,0.0,25,25
1,12,1910.2761907743284,0.25553191870646613,25,25
2,12,1910.2761907743284,0.0,25,25
3,12,1910.2761907743284,0.0,25,25
4,12,1910.2761907743284,0.0,25,25
5,12,1910.2761907743284,0.0,25,25
6,12,1910.2761907743284,0.0,25,25
7,12,1910.2761907743284,0.0,25,25
8,12,1910.2761907743284,0.0,25,25
9,12,1910.2761907743284,0.0,25,25
10,12,1910.2761907743284,0.0,25,25
11,12,1910.2761907743284,0.0,25,25
12,12,1910.2761907743284,0.0,25,25
13,12,1910.2761907743284,0.0,25,25
14,12,1910.2761907743284,0.0,25,25
15,12,1910.2761907743284,0.0,25,25
16,12,1910.2761907743284,0.0,25,25
17,12,1910.2761907743284,0.0,25,25
18,12,1910.2761907743284,0.0,25,25
19,12,1820.9851087312782,0.03446179603976012,25,25
20,12,1820.9851087312782,0.0,25,25
21,12,1820.9851087312782,0.0,25,25
22,12,1820.9851087312782,0.0,25,25
23,12,1805.5618077493245,0.005940586849443955,25,25
24,12,1805.5618077493245,0.0,25,25
25,12,1805.5618077493245,0.0,25,25
26,12,1805.5618077493245,0.0,25,25
27,12,1805.5618077493245,0.0,25,25
28,12,1805.5618077493245,0.0,25,25
29,12,1805.5618077493245,0.0,25,25
30,12,1805.5618077493245,0.0,25,25
31,12,1805.5618077493245,0.0,25,25
32,12,1805.5618077493245,0.0,25,25
33,12,1805.5618077493245,0.0,25,25
34,12,1805.5618077493245,0.0,25,25
35,12,1805.5618077493245,0.0,25,25
36,12,1805.5618077493245,0.0,25,25
37,12,1669.8202983680667,0.05191326213414669,25,25
38,12,1669.8202983680667,0.0,25,25
39,12,1669.8202983680667,0.0,25,25
40,12,1669.8202983680667,0.0,25,25
41,12,1669.8202983680667,0.0,25,25
42,12,1669.8202983680667,0.0,25,25
43,12,1669.8202983680667,0.0,25,25
44,12,1669.8202983680667,0.0,25,25
45,12,1669.8202983680667,0.0,25,25
46,12,1669.8202983680667,0.0,25,25
47,12,1669.8202983680667,0.0,25,25
48,12,1669.8202983680667,0.0,25,25
49,12,1669.8202983680667,0.0,25,25
50,12,1669.8202983680667,0.0,25,25
51,12,1601.0831175282055,0.026100504483094134,25,25
52,12,1601.0831175282055,0.0,25,25
53,12,1601.0831175282055,0.0,25,25
54,12,1601.0831175282055,0.0,25,25
55,12,1601.0831175282055,0.0,25,25
56,12,1601.0831175282055,0.0,25,25
57,12,1601.0831175282055,0.0,25,25
58,12,1601.0831175282055,0.0,25,25
59,12,1601.0831175282055,0.0,25,25
60,12,1601.0831175282055,0.0,25,25
61,12,1601.0831175282055,0.0,25,25
62,12,1601.0831175282055,0.0,25,25
63,12,1601.0831175282055,0.0,25,25
64,12,1601.0831175282055,0.0,25,25
65,12,1601.0831175282055,0.0,25,25
66,12,1601.0831175282055,0.0,25,25
67,12,1601.0831175282055,0.0,25,25
68,12,1601.0831175282055,0.0,25,25
69,12,1601.0831175282055,0.0,25,25
70,12,1601.0831175282055,0.0,25,25
71,12,1601.0831175282055,0.0,25,25
72,12,1601.0831175282055,0.0,25,25
73,12,1601.0831175282055,0.0,25,25
74,12,1601.0831175282055,0.0,25,25
75,12,1601.0831175282055,0.0,25,25
76,12,1601.0831175282055,0.0,25,25
77,12,1601.0831175282055,0.0,25,25
78,12,1601.0831175282055,0.0,25,25
79,12,1601.0831175282055,0.0,25,25
80,12,1601.0831175282055,0.0,25,25
81,12,1601.0831175282055,0.0,25,25
82,12,1601.0831175282055,0.0,25,25
83,12,1601.0831175282055,0.0,25,25
84,12,1601.0831175282055,0.0,25,25
85,12,1601.0831175282055,0.0,25,25
86,12,1601.0831175282055,0.0,25,25
87,12,1601.0831175282055,0.0,25,25
88,12,1601.0831175282055,0.0,25,25
89,12,1601.0831175282055,0.0,25,25
90,12,1601.0831175282055,0.0,25,25
91,12,1601.0831175282055,0.0,25,25
92,12,1601.0831175282055,0.0,25,25
93,12,1601.0831175282055,0.0,25,25
94,12,1601.0831175282055,0.0,25,25
95,12,1601.0831175282055,0.0,25,25
96,12,1601.0831175282055,0.0,25,25
97,12,1601.0831175282055,0.0,25,25
98,12,1601.0831175282055,0.0,25,25
99,12,1601.0831175282055,0.0,25,25
100,12,1601.0831175282055,0.0,25,25
101,12,1601.0831175282055,0.0,25,25
102,12,1601.0831175282055,0.0,25,25
103,12,1601.0831175282055,0.0,25,25
104,12,1601.0831175282055,0.0,25,25
105,12,1601.0831175282055,0.0,25,25
106,12,1601.0831175282055,0.0,25,25
107,12,1601.0831175282055,0.0,25,25
108,12,1601.0831175282055,0.0,25,25
109,12,1601.0831175282055,0.0,25,25
110,12,1601.0831175282055,0.0,25,25
111,12,1601.0831175282055,0.0,25,25
112,12,1601.0831175282055,0.0,25,25
113,12,1601.0831175282055,0.0,25,25
114,12,1601.0831175282055,0.0,25,25
115,12,1601.0831175282055,0.0,25,25
116,12,1601.0831175282055,0.0,25,25
117,12,1601.0831175282055,0.0,25,25
118,12,1601.0831175282055,0.0,25,25
119,12,1601.0831175282055,0.0,25,25
120,12,1601.0831175282055,0.0,25,25
121,12,1601.0831175282055,0.0,25,25
122,12,1601.0831175282055,0.0,25,25
123,12,1601.0831175282055,0.0,25,25
124,12,1601.0831175282055,0.0,25,25
125,12,1601.0831175282055,0.0,25,25
126,12,1601.0831175282055,0.0,25,25
127,12,1601.0831175282055,0.0,25,25
128,12,1601.0831175282055,0.0,25,25
129,12,1601.0831175282055,0.0,25,25
130,12,1601.0831175282055,0.0,25,25
131,12,1601.0831175282055,0.0,25,25
132,12,1601.0831175282055,0.0,25,25
133,12,1601.0831175282055,0.0,25,25
134,12,1601.0831175282055,0.0,25,25
135,12,1486.2923395251155,0.04170913487613143,25,25
136,12,1486.2923395251155,0.0,25,25
137,12,1486.2923395251155,0.0,25,25
138,12,1486.2923395251155,0.0,25,25
139,12,1486.2923395251155,0.0,25,25
140,12,1486.2923395251155,0.0,25,25
141,12,1486.2923395251155,0.0,25,25
142,12,1486.2923395251155,0.0,25,25
143,12,1486.2923395251155,0.0,25,25
144,12,1486.2923395251155,0.0,25,25
145,12,1486.2923395251155,0.0,25,25
146,12,1486.2923395251155,0.0,25,25
147,12,1486.2923395251155,0.0,25,25
148,12,1486.2923395251155,0.0,25,25
149,12,1486.2923395251155,0.0,25,25
150,12,1486.2923395251155,0.0,25,25
151,12,1486.2923395251155,0.0,25,25
152,12,1486.2923395251155,0.0,25,25
153,12,1486.2923395251155,0.0,25,25
154,12,1486.2923395251155,0.0,25,25
155,12,1486.2923395251155,0.0,25,25
156,12,1486.2923395251155,0.0,25,25
157,12,1486.2923395251155,0.0,25,25
158,12,1486.2923395251155,0.0,25,25
159,12,1486.2923395251155,0.0,25,25
160,12,1486.2923395251155,0.0,25,25
161,12,1486.2923395251155,0.0,25,25
162,12,1486.2923395251155,0.0,25,25
163,12,1486.2923395251155,0.0,25,25
164,12,1486.2923395251155,0.0,25,25
165,12,1486.2923395251155,0.0,25,25
166,12,1486.2923395251155,0.0,25,25
167,12,1486.2923395251155,0.0,25,25
168,12,1486.2923395251155,0.0,25,25
169,12,1486.2923395251155,0.0,25,25
170,12,1486.2923395251155,0.0,25,25
171,12,1486.2923395251155,0.0,25,25
172,12,1486.2923395251155,0.0,25,25
173,12,1486.2923395251155,0.0,25,25
174,12,1486.2923395251155,0.0,25,25
175,12,1486.2923395251155,0.0,25,25
176,12,1486.2923395251155,0.0,25,25
177,12,1486.2923395251155,0.0,25,25
178,12,1486.2923395251155,0.0,25,25
179,12,1486.2923395251155,0.0,25,25
180,12,1486.2923395251155,0.0,25,25
181,12,1486.2923395251155,0.0,25,25
182,12,1486.2923395251155,0.0,25,25
183,12,1486.2923395251155,0.0,25,25
184,12,1486.2923395251155,0.0,25,25
185,12,1486.2923395251155,0.0,25,25
186,12,1486.2923395251155,0.0,25,25
187,12,1486.2923395251155,0.0,25,25
188,12,1486.2923395251155,0.0,25,25
189,12,1486.2923395251155,0.0,25,25
190,12,1486.2923395251155,0.0,25,25
191,12,1486.2923395251155,0.0,25,25
192,12,1486.2923395251155,0.0,25,25
193,12,1486.2923395251155,0.0,25,25
194,12,1486.2923395251155,0.0,25,25
195,12,1486.2923395251155,0.0,25,25
196,12,1486.2923395251155,0.0,25,25
197,12,1486.2923395251155,0.0,25,25
198,12,1486.2923395251155,0.0,25,25
199,12,1486.2923395251155,0.0,25,25
200,12,1486.2923395251155,0.0,25,25
201,12,1486.2923395251155,0.0,25,25
202,12,1486.2923395251155,0.0,25,25
203,12,1486.2923395251155,0.0,25,25
204,12,1486.2923395251155,0.0,25,25
205,12,1486.2923395251155,0.0,25,25
206,12,1486.2923395251155,0.0,25,25
207,12,1486.2923395251155,0.0,25,25
208,12,1486.2923395251155,0.0,25,25
209,12,1486.2923395251155,0.0,25,25
210,12,1486.2923395251155,0.0,25,25
211,12,1486.2923395251155,0.0,25,25
212,12,1486.2923395251155,0.0,25,25
213,12,1486.2923395251155,0.0,25,25
214,12,1486.2923395251155,0.0,25,25
215,12,1486.2923395251155,0.0,25,25
216,12,1486.2923395251155,0.0,25,25
217,12,1486.2923395251155,0.0,25,25
218,12,1486.2923395251155,0.0,25,25
219,12,1486.2923395251155,0.0,25,25
220,12,1486.2923395251155,0.0,25,25
221,12,1486.2923395251155,0.0,25,25
222,12,1486.2923395251155,0.0,25,25
223,12,1486.2923395251155,0.0,25,25
224,12,1486.2923395251155,0.0,25,25
225,12,1127.278418502126,0.12415236380789206,25,25
226,12,1127.278418502126,0.0,25,25
227,12,1127.278418502126,0.0,25,25
228,12,1127.278418502126,0.0,25,25
229,12,1127.278418502126,0.0,25,25
230,12,1127.278418502126,0.0,25,25
231,12,1127.278418502126,0.0,25,25
232,12,1127.278418502126,0.0,25,25
233,12,1127.278418502126,0.0,25,25
234,12,1127.278418502126,0.0,25,25
235,12,1127.278418502126,0.0,25,25
236,12,1127.278418502126,0.0,25,25
237,12,1127.278418502126,0.0,25,25
238,12,1127.278418502126,0.0,25,25
239,12,1127.278418502126,0.0,25,25
240,12,1127.278418502126,0.0,25,25
241,12,1127.278418502126,0.0,25,25
242,12,1127.278418502126,0.0,25,25
243,12,1127.278418502126,0.0,25,25
244,12,1127.278418502126,0.0,25,25
245,12,1127.278418502126,0.0,25,25
246,12,1127.278418502126,0.0,25,25
247,12,1127.278418502126,0.0,25,25
248,12,1127.278418502126,0.0,25,25
249,12,1127.278418502126,0.0,25,25
250,12,1127.278418502126,0.0,25,25
251,12,1127.278418502126,0.0,25,25
252,12,1127.278418502126,0.0,25,25
253,12,1127.278418502126,0.0,25,25
254,12,1127.278418502126,0.0,25,25
255,12,1127.278418502126,0.0,25,25
256,12,1127.278418502126,0.0,25,25
257,12,1127.278418502126,0.0,25,25
258,12,1127.278418502126,0.0,25,25
259,12,1127.278418502126,0.0,25,25
260,12,1127.278418502126,0.0,25,25
261,12,1127.278418502126,0.0,25,25
262,12,1127.278418502126,0.0,25,25
263,12,1127.278418502126,0.0,25,25
264,12,1127.278418502126,0.0,25,25
265,12,1127.278418502126,0.0,25,25
266,12,1127.278418502126,0.0,25,25
267,12,1127.278418502126,0.0,25,25
268,12,1127.278418502126,0.0,25,25
269,12,1127.278418502126,0.0,25,25
270,12,1127.278418502126,0.0,25,25
271,12,1127.278418502126,0.0,25,25
272,12,1127.278418502126,0.0,25,25
273,12,1127.278418502126,0.0,25,25
274,12,1127.278418502126,0.0,25,25
275,12,1127.278418502126,0.0,25,25
276,12,1127.278418502126,0.0,25,25
277,12,1127.278418502126,0.0,25,25
278,12,1127.278418502126,0.0,25,25
279,12,1127.278418502126,0.0,25,25
280,12,1127.278418502126,0.0,25,25
281,12,1127.278418502126,0.0,25,25
282,12,1127.278418502126,0.0,25,25
283,12,1127.278418502126,0.0,25,25
284,12,1127.278418502126,0.0,25,25
285,12,1127.278418502126,0.0,25,25
286,12,1127.278418502126,0.0,25,25
287,12,1127.278418502126,0.0,25,25
288,12,1127.278418502126,0.0,25,25
289,12,1127.278418502126,0.0,25,25
290,12,1127.278418502126,0.0,25,25
291,12,1127.278418502126,0.0,25,25
292,12,1127.278418502126,0.0,25,25
293,12,1127.278418502126,0.0,25,25
294,12,1127.278418502126,0.0,25,25
295,12,1127.278418502126,0.0,25,25
296,12,1127.278418502126,0.0,25,25
297,12,1127.278418502126,0.0,25,25
298,12,1127.278418502126,0.0,25,25
299,12,1127.278418502126,0.0,25,25
300,12,1127.278418502126,0.0,25,25
301,12,1127.278418502126,0.0,25,25
302,12,1127.278418502126,0.0,25,25
303,12,1127.278418502126,0.0,25,25
304,12,1127.278418502126,0.0,25,25
305,12,1127.278418502126,0.0,25,25
306,12,1127.278418502126,0.0,25,25
307,12,1127.278418502126,0.0,25,25
308,12,1127.278418502126,0.0,25,25
309,12,1127.278418502126,0.0,25,25
310,12,1127.278418502126,0.0,25,25
311,12,1127.278418502126,0.0,25,25
312,12,1127.278418502126,0.0,25,25
313,12,1127.278418502126,0.0,25,25
314,12,1127.278418502126,0.0,25,25
315,12,1127.278418502126,0.0,25,25
316,12,1127.278418502126,0.0,25,25
317,12,1127.278418502126,0.0,25,25
318,12,1127.278418502126,0.0,25,25
319,12,1127.278418502126,0.0,25,25
320,12,1127.278418502126,0.0,25,25
321,12,1127.278418502126,0.0,25,25
322,12,1127.278418502126,0.0,25,25
323,12,1127.278418502126,0.0,25,25
324,12,1127.278418502126,0.0,25,25
325,12,1127.278418502126,0.0,25,25
326,12,1127.278418502126,0.0,25,25
327,12,1127.278418502126,0.0,25,25
328,12,1127.278418502126,0.0,25,25
329,12,1127.278418502126,0.0,25,25
330,12,1127.278418502126,0.0,25,25
331,12,1127.278418502126,0.0,25,25
332,12,1127.278418502126,0.0,25,25
333,12,1127.278418502126,0.0,25,25
334,12,1127.278418502126,0.0,25,25
335,12,1127.278418502126,0.0,25,25
336,12,1127.278418502126,0.0,25,25
337,12,1127.278418502126,0.0,25,25
338,12,1127.278418502126,0.0,25,25
339,12,1127.278418502126,0.0,25,25
340,12,1127.278418502126,0.0,25,25
341,12,1127.278418502126,0.0,25,25
342,12,1127.278418502126,0.0,25,25
343,12,1127.278418502126,0.0,25,25
344,12,1127.278418502126,0.0,25,25
345,12,1127.278418502126,0.0,25,25
346,12,1127.278418502126,0.0,25,25
347,12,1127.278418502126,0.0,25,25
348,12,1127.278418502126,0.0,25,25
349,12,1127.278418502126,0.0,25,25
350,12,1127.278418502126,0.0,25,25
351,12,1127.278418502126,0.0,25,25
352,12,1127.278418502126,0.0,25,25
353,12,1127.278418502126,0.0,25,25
354,12,1127.278418502126,0.0,25,25
355,12,1127.278418502126,0.0,25,25
356,12,1127.278418502126,0.0,25,25
357,12,1127.278418502126,0.0,25,25
358,12,1127.278418502126,0.0,25,25
359,12,1127.278418502126,0.0,25,25
360,12,1127.278418502126,0.0,25,25
361,12,1127.278418502126,0.0,25,25
362,12,1127.278418502126,0.0,25,25
363,12,1127.278418502126,0.0,25,25
364,12,1127.278418502126,0.0,25,25
365,12,1127.278418502126,0.0,25,25
366,12,1127.278418502126,0.0,25,25
367,12,1127.278418502126,0.0,25,25
368,12,1127.278418502126,0.0,25,25
369,12,1127.278418502126,0.0,25,25
370,12,1127.278418502126,0.0,25,25
371,12,1127.278418502126,0.0,25,25
372,12,1127.278418502126,0.0,25,25
373,12,1127.278418502126,0.0,25,25
374,12,1127.278418502126,0.0,25,25
375,12,1127.278418502126,0.0,25,25
376,12,1127.278418502126,0.0,25,25
377,12,1127.278418502126,0.0,25,25
378,12,1127.278418502126,0.0,25,25
379,12,1127.278418502126,0.0,25,25
380,12,1127.278418502126,0.0,25,25
381,12,1127.278418502126,0.0,25,25
382,12,1127.278418502126,0.0,25,25
383,12,1127.278418502126,0.0,25,25
384,12,1127.278418502126,0.0,25,25
385,12,1127.278418502126,0.0,25,25
386,12,1127.278418502126,0.0,25,25
387,12,1127.278418502126,0.0,25,25
388,12,1127.278418502126,0.0,25,25
389,12,1127.278418502126,0.0,25,25
390,12,1127.278418502126,0.0,25,25
391,12,1127.278418502126,0.0,25,25
392,12,1127.278418502126,0.0,25,25
393,12,1127.278418502126,0.0,25,25
394,12,1127.278418502126,0.0,25,25
395,12,1127.278418502126,0.0,25,25
396,12,1127.278418502126,0.0,25,25
397,12,1127.278418502126,0.0,25,25
398,12,1127.278418502126,0.0,25,25
399,12,1127.278418502126,0.0,25,25
400,12,1127.278418502126,0.0,25,25
401,12,1127.278418502126,0.0,25,25
402,12,1127.278418502126,0.0,25,25
403,12,1127.278418502126,0.0,25,25
404,12,1127.278418502126,0.0,25,25
405,12,1127.278418502126,0.0,25,25
406,12,1127.278418502126,0.0,25,25
407,12,1127.278418502126,0.0,25,25
408,12,1127.278418502126,0.0,25,25
409,12,1127.278418502126,0.0,25,25
410,12,1127.278418502126,0.0,25,25
411,12,1127.278418502126,0.0,25,25
412,12,1127.278418502126,0.0,25,25
413,12,1127.278418502126,0.0,25,25
414,12,1127.278418502126,0.0,25,25
415,12,1127.278418502126,0.0,25,25
416,12,1127.278418502126,0.0,25,25
417,12,1127.278418502126,0.0,25,25
418,12,1127.278418502126,0.0,25,25
419,12,1127.278418502126,0.0,25,25
420,12,1127.278418502126,0.0,25,25
421,12,1127.278418502126,0.0,25,25
422,12,1127.278418502126,0.0,25,25
423,12,1127.278418502126,0.0,25,25
424,12,1127.278418502126,0.0,25,25
425,12,1127.278418502126,0.0,25,25
426,12,1127.278418502126,0.0,25,25
427,12,1127.278418502126,0.0,25,25
428,12,1127.278418502126,0.0,25,25
429,12,1127.278418502126,0.0,25,25
430,12,1127.278418502126,0.0,25,25
431,12,1127.278418502126,0.0,25,25
432,12,1127.278418502126,0.0,25,25
433,12,1127.278418502126,0.0,25,25
434,12,1127.278418502126,0.0,25,25
435,12,1127.278418502126,0.0,25,25
436,12,1127.278418502126,0.0,25,25
437,12,1127.278418502126,0.0,25,25
438,12,1127.278418502126,0.0,25,25
439,12,1127.278418502126,0.0,25,25
440,12,1127.278418502126,0.0,25,25
441,12,1127.278418502126,0.0,25,25
442,12,1127.278418502126,0.0,25,25
443,12,1127.278418502126,0.0,25,25
444,12,1127.278418502126,0.0,25,25
445,12,1127.278418502126,0.0,25,25
446,12,1127.278418502126,0.0,25,25
447,12,1127.278418502126,0.0,25,25
448,12,1127.278418502126,0.0,25,25
449,12,1127.278418502126,0.0,25,25
450,12,1127.278418502126,0.0,25,25
451,12,1127.278418502126,0.0,25,25
452,12,1127.278418502126,0.0,25,25
453,12,1127.278418502126,0.0,25,25
454,12,1127.278418502126,0.0,25,25
455,12,1127.278418502126,0.0,25,25
456,12,1127.278418502126,0.0,25,25
457,12,1127.278418502126,0.0,25,25
458,12,1127.278418502126,0.0,25,25
459,12,1127.278418502126,0.0,25,25
460,12,1127.278418502126,0.0,25,25
461,12,1127.278418502126,0.0,25,25
462,12,1127.278418502126,0.0,25,25
463,12,1127.278418502126,0.0,25,25
464,12,1127.278418502126,0.0,25,25
465,12,1127.278418502126,0.0,25,25
466,12,1127.278418502126,0.0,25,25
467,12,1127.278418502126,0.0,25,25
468,12,1127.278418502126,0.0,25,25
469,12,1127.278418502126,0.0,25,25
